HAMILT20,RGOLDS71
TTCHIC20,SBARON71
TTCHIC20,JGORDO81
TTCHIC20,MDOUGL51
ENOLAH20,HCAVIL83
ENOLAH20,MBROWN04
ENOLAH20,HCARTE66
MRGSTY19,SJOHAN84
MRGSTY19,ADRIVE83
MRGSTY19,RLIOTT54
UNCUTG19,ASANDL66
UNCUTG19,LSTANF91
GWHUNT97,RWILLI51
GWHUNT97,MDAMON70
GWHUNT97,BAFFLE72
DIEHAR88,BWILLI55
DIEHAR88,ARICKM46
VANISH18,GBUTLE69
SWFORC15,HAFORD42
SWFORC15,ADRIVE83
SWFORC15,DRIDLE92
SWFORC15,JBOYEG92
SWLAST17,ADRIVE83
SWLAST17,DRIDLE92
SWLAST17,JBOYEG92
ENDGAM19,RDOWNE65
ENDGAM19,CEVANS81
ENDGAM19,SJOHAN84
ENDGAM19,CHEMSW83
INFWAR18,RDOWNE65
INFWAR18,CEVANS81
INFWAR18,SJOHAN84
INFWAR18,CHEMSW83
CITKAN41,OWELLE15
CITKAN41,JCOTTE05
CITKAN41,DCOMIN13
JJRABB19,TWAITI75
JJRABB19,RDAVIS07
JJRABB19,RWILSO80
JJRABB19,SJOHAN84
